Repository Name,Owner,Description,URL,Programming Language,Creation Date,Last Updated Date,Number of Stars,Number of Forks,Number of Open Issues,License Type,Topic
Mr.-Ranedeer-AI-Tutor,JushBJJ,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,,2023-03-31T12:37:26Z,2024-10-09T14:08:02Z,28624,3291,14,No License,llm
vllm,vllm-project,A high-throughput and memory-efficient inference and serving engine for LLMs,https://github.com/vllm-project/vllm,Python,2023-02-09T11:23:20Z,2024-10-09T19:04:21Z,28075,4147,2088,Apache License 2.0,llm
mindsdb,mindsdb,The platform for building AI from enterprise data,https://github.com/mindsdb/mindsdb,Python,2018-08-02T17:56:45Z,2024-10-09T17:51:17Z,26509,4815,193,Other,llm
anything-llm,Mintplex-Labs,"The all-in-one Desktop & Docker AI application with built-in RAG, AI agents, and more.",https://github.com/Mintplex-Labs/anything-llm,JavaScript,2023-06-04T02:29:14Z,2024-10-09T18:52:54Z,24339,2435,179,MIT License,llm
LocalAI,mudler,":robot: The free, Open Source alternative to OpenAI, Claude and others. Self-hosted and local-first. Drop-in replacement for OpenAI,  running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more models architectures. Features: Generate Text, Audio, Video, Images, Voice Cloning, Distributed inference",https://github.com/mudler/LocalAI,C++,2023-03-18T22:58:02Z,2024-10-09T18:29:04Z,23813,1820,375,MIT License,llm
mem0,mem0ai,The Memory layer for your AI apps,https://github.com/mem0ai/mem0,Python,2023-06-20T08:58:36Z,2024-10-09T17:14:51Z,22215,2042,194,Apache License 2.0,llm
semantic-kernel,microsoft,Integrate cutting-edge LLM technology quickly and easily into your apps,https://github.com/microsoft/semantic-kernel,C#,2023-02-27T17:39:42Z,2024-10-09T18:57:15Z,21574,3195,544,MIT License,llm
architecture.of.internet-product,davideuler,互联网公司技术架构，微信/淘宝/微博/腾讯/阿里/美团点评/百度/OpenAI/Google/Facebook/Amazon/eBay的架构，欢迎PR补充,https://github.com/davideuler/architecture.of.internet-product,HTML,2018-04-30T10:25:31Z,2024-10-09T13:16:17Z,20035,4663,3,No License,llm
unilm,microsoft,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities",https://github.com/microsoft/unilm,Python,2019-07-23T04:15:28Z,2024-10-09T18:05:43Z,19724,2512,614,MIT License,llm
ragflow,infiniflow,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.,https://github.com/infiniflow/ragflow,Python,2023-12-12T06:13:13Z,2024-10-09T19:23:10Z,18859,1916,485,Apache License 2.0,llm
mlc-llm,mlc-ai,Universal LLM Deployment Engine with ML Compilation,https://github.com/mlc-ai/mlc-llm,Python,2023-04-29T01:59:25Z,2024-10-09T18:17:56Z,18838,1536,201,Apache License 2.0,llm
Chinese-LLaMA-Alpaca,ymcui,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs),https://github.com/ymcui/Chinese-LLaMA-Alpaca,Python,2023-03-15T11:09:39Z,2024-10-09T18:18:27Z,18247,1862,6,Apache License 2.0,llm
graphrag,microsoft,A modular graph-based Retrieval-Augmented Generation (RAG) system,https://github.com/microsoft/graphrag,Python,2024-03-27T17:57:52Z,2024-10-09T16:06:09Z,17925,1725,160,MIT License,llm
continue,continuedev,⏩ Continue is the leading open-source AI code assistant. You can connect any models and any context to build custom autocomplete and chat experiences inside VS Code and JetBrains,https://github.com/continuedev/continue,TypeScript,2023-05-24T03:39:39Z,2024-10-09T19:06:35Z,17869,1395,584,Apache License 2.0,llm
FastGPT,labring,"FastGPT is a knowledge-based platform built on the LLMs, offers a comprehensive suite of out-of-the-box capabilities such as data processing, RAG retrieval, and visual AI workflow orchestration, letting you easily develop and deploy complex question-answering systems without the need for extensive setup or configuration.",https://github.com/labring/FastGPT,TypeScript,2023-02-23T16:53:25Z,2024-10-09T17:30:03Z,17277,4631,280,Other,llm
haystack,deepset-ai,":mag: AI orchestration framework to build customizable, production-ready LLM applications. Connect components (models, vector DBs, file converters) to pipelines or agents that can interact with your data. With advanced retrieval methods, it's best suited for building RAG, question answering, semantic search or conversational agent chatbots.",https://github.com/deepset-ai/haystack,Python,2019-11-14T09:05:28Z,2024-10-09T18:40:12Z,17050,1864,123,Apache License 2.0,llm
AutoGPT,Significant-Gravitas,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",https://github.com/Significant-Gravitas/AutoGPT,Python,2023-03-16T09:21:07Z,2024-10-09T18:59:22Z,167344,44204,124,Other,ai
stable-diffusion-webui,AUTOMATIC1111,Stable Diffusion web UI,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Python,2022-08-22T14:05:26Z,2024-10-09T18:44:26Z,140868,26649,2294,GNU Affero General Public License v3.0,ai
supabase,supabase,"The open source Firebase alternative. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications.",https://github.com/supabase/supabase,TypeScript,2019-10-12T05:56:49Z,2024-10-09T18:48:23Z,72451,6957,498,Apache License 2.0,ai
generative-ai-for-beginners,microsoft,"21 Lessons, Get Started Building with Generative AI  🔗 https://microsoft.github.io/generative-ai-for-beginners/",https://github.com/microsoft/generative-ai-for-beginners,Jupyter Notebook,2023-06-19T16:28:59Z,2024-10-09T19:26:07Z,63335,32269,13,MIT License,ai
ChatGPT,lencx,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",https://github.com/lencx/ChatGPT,Rust,2022-12-07T09:43:02Z,2024-10-09T16:55:50Z,52532,5904,739,No License,ai
gpt-engineer,gpt-engineer-org,Platform to experiment with the AI Software Engineer. Terminal based. NOTE: Very different from https://gptengineer.app,https://github.com/gpt-engineer-org/gpt-engineer,Python,2023-04-29T12:52:15Z,2024-10-09T18:21:05Z,52148,6796,21,MIT License,ai
dify,langgenius,"Dify is an open-source LLM app development platform. Dify's intuitive interface combines AI workflow, RAG pipeline, agent capabilities, model management, observability features and more, letting you quickly go from prototype to production.",https://github.com/langgenius/dify,TypeScript,2023-04-12T07:40:24Z,2024-10-09T17:37:09Z,47423,6760,307,Other,ai
lobe-chat,lobehub,"🤯 Lobe Chat - an open-source, modern-design AI chat framework. Supports Multi AI Providers( OpenAI / Claude 3 / Gemini / Ollama / Azure /  DeepSeek), Knowledge Base (file upload / knowledge management / RAG ), Multi-Modals (Vision/TTS) and plugin system. One-click FREE deployment of your private ChatGPT/ Claude application.",https://github.com/lobehub/lobe-chat,TypeScript,2023-05-21T07:19:12Z,2024-10-09T19:01:54Z,42250,9545,423,Other,ai
open-webui,open-webui,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",https://github.com/open-webui/open-webui,Svelte,2023-10-06T22:08:27Z,2024-10-09T19:08:21Z,42101,5014,131,MIT License,ai
